Threads,Task,Time,Language
1,ENC,29.32733941,Julia
1,MILC,28.91894537,Julia
1,ALL_CUB,63.18463795,Julia
1,ENC,31.94701852,Julia
1,MILC,28.77434136,Julia
1,ALL_CUB,61.97602076,Julia
1,ENC,32.27778983,Julia
1,MILC,29.55305702,Julia
1,ALL_CUB,63.6846659,Julia
1,ENC,32.65769598,Julia
1,MILC,29.17558952,Julia
1,ALL_CUB,64.12288124,Julia
1,ENC,31.39643481,Julia
1,MILC,28.77210225,Julia
1,ALL_CUB,60.63914322,Julia
3,ENC,14.54805117,Julia
3,MILC,12.22047064,Julia
3,ALL_CUB,31.39490385,Julia
3,ENC,15.71272771,Julia
3,MILC,12.42788858,Julia
3,ALL_CUB,32.64201449,Julia
3,ENC,15.078009,Julia
3,MILC,12.73123376,Julia
3,ALL_CUB,32.64618074,Julia
3,ENC,15.3286659,Julia
3,MILC,11.98930823,Julia
3,ALL_CUB,33.53503066,Julia
3,ENC,15.69428194,Julia
3,MILC,12.01777199,Julia
3,ALL_CUB,31.45668329,Julia
5,ENC,11.84283542,Julia
5,MILC,9.181730447,Julia
5,ALL_CUB,26.59990715,Julia
5,ENC,12.53051423,Julia
5,MILC,8.807051615,Julia
5,ALL_CUB,26.70880485,Julia
5,ENC,12.4673515,Julia
5,MILC,8.87795177,Julia
5,ALL_CUB,27.38470192,Julia
5,ENC,12.31182427,Julia
5,MILC,8.999422221,Julia
5,ALL_CUB,26.59077223,Julia
5,ENC,12.0808405,Julia
5,MILC,8.763070197,Julia
5,ALL_CUB,26.95105852,Julia
7,ENC,11.23395069,Julia
7,MILC,7.841472904,Julia
7,ALL_CUB,25.1945949,Julia
7,ENC,11.5120885,Julia
7,MILC,7.823085585,Julia
7,ALL_CUB,26.34251222,Julia
7,ENC,11.30308107,Julia
7,MILC,7.999085411,Julia
7,ALL_CUB,24.84116924,Julia
7,ENC,11.34568553,Julia
7,MILC,8.492235274,Julia
7,ALL_CUB,24.68893981,Julia
7,ENC,11.36808905,Julia
7,MILC,7.809506666,Julia
7,ALL_CUB,24.55375896,Julia
1,ENC,109.346,R
1,MILC,125.204,R
1,ALL_CUB,610.127,R
